
Time,T_+ve,T_-ve,Flux,Fluxpos,Fluxneg
144.967,1.053,-1.011,4.64471964e-07,4.5677412e-08,-1.152411e+03
147.003,1.013,-0.983,4.98713688e-07,4.72903992e-08,-1.189495e+03
148.949,1.045,-0.933,5.17446468e-07,4.75521156e-08,-1.198101e+03
150.981,1.061,-0.986,4.91367492e-07,4.602015e-08,-1.158775e+03
153.198,1.039,-1.156,4.54330404e-07,4.284126e-08,-1.080922e+03
155.426,1.243,-1.189,4.16042748e-07,3.87717264e-08,-9.770403e+02
157.804,1.066,-1.135,4.52755908e-07,4.2837696e-08,-1.080587e+03
160.118,1.346,-1.248,3.829979736e-07,3.637873008e-08,-9.170648e+02
162.700,1.293,-1.235,3.97212552e-07,3.72855582e-08,-9.402757e+02
165.245,1.330,-1.253,3.834610956e-07,3.648557088e-08,-9.200371e+02
167.815,1.332,-1.239,3.83804982e-07,3.669121764e-08,-9.238542e+02
170.229,1.001,-1.083,3.15395982e-07,3.693935916e-08,-9.322790e+02
172.637,1.306,-1.407,3.769263036e-07,3.46653252e-08,-8.735507e+02
175.138,1.234,-1.195,4.22986212e-07,3.879864252e-08,-9.774723e+02
177.440,0.885,-1.068,3.458499264e-07,3.9637224e-08,-1.000407e+03
179.687,1.518,-1.362,3.494838996e-07,3.292866324e-08,-8.299255e+02
182.370,1.298,-1.165,3.523400892e-07,3.518627508e-08,-8.854254e+02
184.828,1.367,-1.161,2.652968736e-07,3.067821108e-08,-7.735082e+02
187.141,1.176,-0.945,3.262813092e-07,3.636692532e-08,-9.173024e+02
189.465,0.890,-1.149,3.42035496e-07,3.775875048e-08,-9.529403e+02
191.591,1.141,-1.236,2.925735516e-07,3.239028936e-08,-8.174892e+02
193.711,1.068,-0.978,3.41323686e-07,3.762343332e-08,-9.494700e+02
195.937,1.111,-1.159,3.062431944e-07,3.410576532e-08,-8.606512e+02
198.354,1.221,-1.306,2.647280592e-07,3.057851808e-08,-7.716650e+02
200.719,1.309,-1.144,2.82951504e-07,3.141692136e-08,-7.929315e+02
203.220,1.339,-1.191,2.736265356e-07,3.047267916e-08,-7.691029e+02
205.696,1.278,-1.138,2.881378368e-07,3.18984336e-08,-8.050853e+02
208.347,1.620,-1.373,2.236062312e-07,2.578350456e-08,-6.507758e+02
211.213,1.362,-1.246,2.654054964e-07,2.951422848e-08,-7.448920e+02
214.299,1.340,-1.724,2.291307084e-07,2.510520408e-08,-6.336277e+02
217.677,2.128,-2.039,1.553891724e-07,1.859680548e-08,-4.689066e+02
221.535,1.617,-1.729,2.050001712e-07,2.316891456e-08,-5.841936e+02
225.254,1.836,-2.103,1.70681346e-07,1.9707336e-08,-4.968505e+02
228.323,1.515,-1.232,2.546467704e-07,2.815842744e-08,-7.104888e+02
231.150,1.675,-1.312,2.308599612e-07,2.586753576e-08,-6.527910e+02
234.818,1.693,-1.993,1.884014748e-07,2.095638732e-08,-5.288252e+02
238.542,1.999,-2.031,1.660688172e-07,1.921335372e-08,-4.848801e+02
242.786,2.013,-2.245,1.561893696e-07,1.822431204e-08,-4.596246e+02
247.102,2.141,-2.304,1.518296076e-07,1.74731238e-08,-4.400022e+02
251.295,1.810,-2.052,1.795914252e-07,2.002651596e-08,-5.042207e+02
255.709,2.300,-2.604,1.31747616e-07,1.578076236e-08,-3.981424e+02
260.175,2.518,-2.166,1.47120336e-07,1.646953308e-08,-4.154346e+02
265.493,2.514,-2.800,1.289289276e-07,1.45482876e-08,-3.668311e+02
270.490,1.879,-2.483,1.332622764e-07,1.467803304e-08,-3.704012e+02
